1着_人気,2着_人気,3着_人気,レース名,年,単勝_払戻,複勝_払戻1,複勝_払戻2,複勝_払戻3,馬連_払戻,ワイド1_払戻,ワイド2_払戻,ワイド3_払戻,馬単_払戻,3連複_払戻,3連単_払戻
9.0,1.0,6.0,nhk,2020,2960,810,180,440,4200,1570.0,6240.0,1230.0,11900.0,19620.0,152750.0
2.0,14.0,7.0,nhk,2019,430,210,1270,750,17200,3480.0,1840.0,12620.0,22440.0,97390.0,410680.0
6.0,2.0,9.0,nhk,2018,1280,370,230,520,3140,1230.0,3360.0,2180.0,7470.0,21840.0,129560.0
2.0,13.0,6.0,nhk,2017,580,220,950,320,17290,4460.0,1000.0,6400.0,27730.0,50600.0,296160.0
1.0,2.0,12.0,nhk,2016,230,140,210,660,940,430.0,1990.0,3520.0,1470.0,11190.0,33030.0
3.0,4.0,2.0,nhk,2015,640,210,260,230,2800,1120.0,780.0,1260.0,5990.0,6200.0,36720.0
1.0,17.0,12.0,nhk,2014,190,140,1940,1600,14760,4020.0,3350.0,29840.0,15860.0,188380.0,684020.0
10.0,6.0,8.0,nhk,2013,3430,730,510,770,21890,5290.0,7400.0,4380.0,56570.0,137530.0,1235600.0
1.0,3.0,15.0,nhk,2012,370,170,300,1630,1480,760.0,8070.0,12680.0,2630.0,72990.0,262580.0
1.0,2.0,4.0,nhk,2011,460,170,180,190,1170,530.0,520.0,650.0,2160.0,2040.0,7920.0
1.0,5.0,3.0,nhk,2010,260,140,340,210,2040,820.0,400.0,1370.0,2680.0,3860.0,17180.0
10.0,5.0,13.0,nhk,2009,3980,1120,380,2850,14180,3920.0,19610.0,11750.0,39660.0,318540.0,2381660.0
1.0,3.0,14.0,nhk,2008,430,180,290,760,1980,800.0,3150.0,5120.0,3600.0,28130.0,116880.0
17.0,1.0,18.0,nhk,2007,7600,1910,200,3900,30800,7840.0,58890.0,16990.0,85620.0,1221770.0,9739870.0
3.0,9.0,6.0,nhk,2006,870,290,630,590,6110,1720.0,1870.0,4250.0,11590.0,30100.0,201600.0
2.0,10.0,4.0,nhk,2005,390,180,620,270,4890,1410.0,810.0,3230.0,6410.0,12760.0,63150.0
9.0,5.0,6.0,nhk,2003,2600,740,390,540,17520,4870.0,6000.0,2570.0,42390.0,96490.0,
4.0,5.0,1.0,nhk,2002,1430,270,240,110,4830,1050.0,420.0,400.0,,,
1.0,13.0,12.0,nhk,2001,120,110,1510,1100,6880,2610.0,2060.0,46660.0,,,
2.0,5.0,1.0,nhk,2000,430,150,250,120,1880,790.0,330.0,670.0,,,
6.0,2.0,3.0,nhk,1999,820,290,190,190,1560,,,,,,
1.0,6.0,5.0,nhk,1998,180,120,470,330,1840,,,,,,
1.0,2.0,14.0,nhk,1997,200,120,130,900,380,,,,,,
4.0,2.0,7.0,nhk,1996,1180,390,210,510,2950,,,,,,
4.0,3.0,1.0,victoria,2023,760,200,170,120,1960,640.0,390.0,340.0,4170.0,1720.0,12830.0
4.0,3.0,6.0,victoria,2022,570,230,190,360,2010,730.0,1460.0,1470.0,4010.0,8270.0,43780.0
1.0,10.0,5.0,victoria,2021,130,110,790,210,3620,1550.0,330.0,5080.0,4630.0,8460.0,28750.0
1.0,4.0,5.0,victoria,2020,140,110,220,300,750,390.0,530.0,1530.0,950.0,2960.0,7340.0
5.0,4.0,11.0,victoria,2019,940,350,250,670,3700,1410.0,4040.0,3150.0,7670.0,35490.0,175040.0
8.0,1.0,7.0,victoria,2018,1940,400,170,350,4090,1320.0,1330.0,870.0,11730.0,8850.0,63640.0
6.0,11.0,7.0,victoria,2017,1350,440,1580,480,42710,8380.0,1890.0,10530.0,73750.0,123870.0,918700.0
7.0,1.0,2.0,victoria,2016,1770,410,140,170,3510,1310.0,1790.0,350.0,9790.0,6090.0,48310.0
5.0,12.0,18.0,victoria,2015,1410,490,1020,8500,36880,5410.0,86300.0,86580.0,73990.0,2860480.0,20705810.0
11.0,3.0,6.0,victoria,2014,2830,760,280,490,8450,2960.0,5100.0,1980.0,28050.0,50720.0,407940.0
1.0,12.0,5.0,victoria,2013,310,150,1020,360,8030,2570.0,870.0,7150.0,12600.0,35770.0,193570.0
4.0,7.0,3.0,victoria,2012,720,220,400,240,5510,1570.0,780.0,1540.0,10720.0,10790.0,75320.0
2.0,1.0,3.0,victoria,2011,410,120,110,200,230,140.0,460.0,330.0,740.0,620.0,3620.0
1.0,8.0,11.0,victoria,2010,150,110,850,920,2490,1160.0,1620.0,12220.0,2780.0,29700.0,85770.0
1.0,11.0,7.0,victoria,2009,170,120,1000,550,5310,2130.0,1030.0,5370.0,6410.0,19770.0,80580.0
5.0,1.0,4.0,victoria,2008,1340,300,130,210,1670,710.0,990.0,460.0,4520.0,3240.0,23000.0
12.0,9.0,8.0,victoria,2007,6030,1440,810,790,30740,8520.0,10770.0,5430.0,73240.0,235020.0,2283960.0
2.0,3.0,4.0,victoria,2006,390,150,170,230,1000,410.0,500.0,740.0,1860.0,2770.0,11650.0
1.0,2.0,15.0,oaks,2023,140,110,180,1090,590,300.0,2610.0,8810.0,680.0,16840.0,34140.0
3.0,10.0,4.0,oaks,2022,650,230,730,340,8150,2890.0,1210.0,3850.0,12750.0,19360.0,119010.0
3.0,2.0,16.0,oaks,2021,890,250,190,2820,1880,700.0,24940.0,14430.0,4690.0,109190.0,532180.0
1.0,7.0,13.0,oaks,2020,160,130,420,830,1800,770.0,1750.0,5740.0,1950.0,15020.0,42410.0
1.0,12.0,2.0,oaks,2019,400,200,1400,170,25140,6430.0,470.0,4960.0,28210.0,28240.0,179960.0
1.0,4.0,2.0,oaks,2018,170,110,200,120,1190,370.0,160.0,390.0,1410.0,750.0,3360.0
1.0,6.0,2.0,oaks,2017,240,130,350,190,2290,830.0,370.0,1680.0,2790.0,4600.0,20130.0
1.0,2.0,5.0,oaks,2016,200,110,130,320,420,200.0,660.0,910.0,650.0,2070.0,5790.0
3.0,1.0,6.0,oaks,2015,680,210,160,300,1160,510.0,1020.0,890.0,3030.0,4140.0,20150.0
2.0,1.0,3.0,oaks,2014,980,150,110,270,380,190.0,910.0,400.0,1730.0,1530.0,12850.0
9.0,5.0,1.0,oaks,2013,2850,710,260,150,13880,3670.0,2310.0,490.0,31120.0,15610.0,150480.0
3.0,2.0,9.0,oaks,2012,560,200,150,560,820,380.0,2620.0,1200.0,1900.0,6640.0,30610.0
7.0,8.0,2.0,oaks,2011,3720,800,780,140,42750,9510.0,1720.0,1810.0,104460.0,45120.0,548190.0
1.0,2.0,4.0,oaks,2009,140,110,140,290,320,180.0,480.0,780.0,440.0,1250.0,2430.0
4.0,13.0,5.0,oaks,2008,970,380,970,420,24080,7320.0,2050.0,4480.0,39320.0,61600.0,440360.0
5.0,1.0,8.0,oaks,2007,1170,310,150,500,1640,710.0,2380.0,1210.0,4590.0,10450.0,57000.0
3.0,5.0,7.0,oaks,2006,670,280,500,560,4180,1800.0,2250.0,3370.0,8220.0,33430.0,164300.0
1.0,2.0,3.0,oaks,2005,150,110,180,200,630,250.0,350.0,770.0,820.0,1280.0,3330.0
6.0,4.0,7.0,oaks,2004,2140,550,400,510,10080,2700.0,3140.0,3240.0,30430.0,63460.0,
2.0,13.0,9.0,oaks,2003,560,200,1980,1240,24480,5770.0,3210.0,23330.0,33950.0,95530.0,
4.0,12.0,2.0,oaks,2002,1050,360,800,240,13590,4040.0,1470.0,2900.0,,,
5.0,4.0,1.0,oaks,2001,1760,300,210,130,4860,1470.0,780.0,510.0,,,
1.0,5.0,16.0,oaks,2000,370,150,260,2430,1630,680.0,7600.0,17390.0,,,
7.0,1.0,3.0,oaks,1999,1690,460,150,230,2840,,,,,,
7.0,2.0,1.0,oaks,1998,1340,300,160,130,2300,,,,,,
2.0,13.0,4.0,oaks,1997,290,140,900,320,12550,,,,,,
1.0,4.0,8.0,oaks,1996,250,160,270,580,1480,,,,,,
3.0,5.0,7.0,oaks,1995,460,170,310,420,1980,,,,,,
2.0,6.0,4.0,oaks,1994,470,190,410,250,3340,,,,,,
